Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Jan-2026),Crossref citations (as of 24-Jan-2026)
"Debt, Deficits and Defence: The UK Experience 1700-2016",Ron P Smith,Defence and Peace Economics,31,4,p414 - p422,2020,10.1080/10242694.2019.1710996,05-Jan-2020,https://doi.org/10.1080/10242694.2019.1710996,599.0,11.0
"The Anschluss Question in Italian Defence Policy, 1933-37",Robert Mallett,Intelligence and National Security,19,4,p680 - p694,2004,10.1080/0268452042000327546,08-Sep-2010,https://doi.org/10.1080/0268452042000327546,546.0,1.0
Collaborative Regional Security and Mutual Defence: SADC in Comparative Perspective,Gavin Cawthra,Politikon,35,2,p159 - p176,2008,10.1080/02589340802366950,10-Oct-2008,https://doi.org/10.1080/02589340802366950,466.0,4.0
Playing the defence card: Local authority responses to the 1992 regional policy consultation paper,R M Ball,Local Economy,9,1,p31 - p47,1994,10.1080/02690949408726218,08-May-2007,https://doi.org/10.1080/02690949408726218,6.0,0.0
'Battered woman syndrome' and the defence of provocation: two women with something more in common,Keith Rix,The Journal of Forensic Psychiatry,12,1,p131 - p149,2001,10.1080/09585180010027860,09-Dec-2010,https://doi.org/10.1080/09585180010027860,714.0,3.0
Antioxidant defense response of fenugreek to solar UV,"K N Guruprasad, Juhie Joshi, Sunita Kataria, Sonika Sharma",International Journal of Vegetable Science,25,1,p40 - p57,2019,10.1080/19315260.2018.1466844,30-Apr-2018,https://doi.org/10.1080/19315260.2018.1466844,180.0,16.0
The Falklands War: A Commander's view of the defence/media interface,Jeremy RM Retd Moore,Small Wars & Insurgencies,2,3,p142 - p154,1991,10.1080/09592319108422997,26-Nov-2007,https://doi.org/10.1080/09592319108422997,101.0,0.0
Pauling's Defence of Bent-Equivalent Bonds: A View of Evolving Explanatory Demands in Modern Chemistry,Julia R Bursten,Annals of Science,69,1,p69 - p90,2012,10.1080/00033790.2011.609074,20-Oct-2011,https://doi.org/10.1080/00033790.2011.609074,388.0,1.0
From Challenged Statehood to Democratic Civil-Military Relations: Defence Reform in Montenegro,Danijela Dudley,Journal of Balkan and Near Eastern Studies,22,1,p84 - p102,2020,10.1080/19448953.2020.1715667,22-Jan-2020,https://doi.org/10.1080/19448953.2020.1715667,129.0,0.0
"Deterrence, consensus and reassurance in the defence of Europe",Michael Howard,The Adelphi Papers,23,184,p17 - p26,1983,10.1080/05679328308457438,02-May-2008,https://doi.org/10.1080/05679328308457438,30.0,2.0
Still on the same path? Italian foreign and defence policy in the Enlarged Mediterranean,"Fabrizio Coticchia, Matteo Mazziotti Di Celso",Mediterranean Politics,30,3,p650 - p659,2025,10.1080/13629395.2023.2294252,10-Jan-2024,https://doi.org/10.1080/13629395.2023.2294252,909.0,16.0
Intrafamily femicide in defence of honour: The case of Jordan,Fadia Faqir,Third World Quarterly,22,1,p65 - p82,2001,10.1080/713701138,25-Aug-2010,https://doi.org/10.1080/713701138,1331.0,82.0
The Alliance and Europe: Part II: Defence with Fewer Men: Introduction,Kenneth Hunt,The Adelphi Papers,13,98,p1 - p2,1973,10.1080/05679327308448301,02-May-2008,https://doi.org/10.1080/05679327308448301,14.0,6.0
Russian Science and Technology is Still Having Problems-Implications for Defense Research,Roger Roffey,The Journal of Slavic Military Studies,26,2,p162 - p188,2013,10.1080/13518046.2013.779849,06-Jun-2013,https://doi.org/10.1080/13518046.2013.779849,496.0,6.0
The Canada-United States defence relationship: a partnership for the twenty-first century,Kenneth Holland,Canadian Foreign Policy Journal,20,3,p241 - p246,2014,10.1080/11926422.2014.995686,03-Feb-2015,https://doi.org/10.1080/11926422.2014.995686,7610.0,5.0
Defence lawyers and probation officers: offenders' allies or adversaries?,"Daniel Carl Newman, Pamela Ugwudike",International Journal of the Legal Profession,20,2,p183 - p207,2013,10.1080/09695958.2013.833094,17-Sep-2013,https://doi.org/10.1080/09695958.2013.833094,337.0,6.0
"Preconscious defence analysis, memory and structural change",John Munder Ross,The International Journal of Psychoanalysis,84,1,p59 - p76,2003,10.1516/wruj-w1dq-8wwq-yxpg,31-Dec-2017,https://doi.org/10.1516/wruj-w1dq-8wwq-yxpg,40.0,14.0
Switching Model with Two Habitats and a Predator Involving Group Defence,"B S Bhatt, R P Jaju, Q J A Khan",Journal of Nonlinear Mathematical Physics,5,2,p212 - p223,1998,10.2991/jnmp.1998.5.2.11,21-Jan-2013,https://doi.org/10.2991/jnmp.1998.5.2.11,227.0,12.0
"Military drones, air defence, and the hider-finder competition in air warfare","Antonio Calcara, Andrea Gilli, Mauro Gilli, Ivan Zaccagnini",Defense & Security Analysis,39,2,p260 - p262,2023,10.1080/14751798.2023.2178541,05-Mar-2023,https://doi.org/10.1080/14751798.2023.2178541,1067.0,3.0
Evaluation of complex security scenarios using defense trees and economic indexes,"Stefano Bistarelli, Fabio Fioravanti, Pamela Peretti, Francesco Santini",Journal of Experimental & Theoretical Artificial Intelligence,24,2,p161 - p192,2012,10.1080/13623079.2011.587206,07-Jul-2011,https://doi.org/10.1080/13623079.2011.587206,211.0,17.0
The common European security and defence policy and the 'third-country' issue,"Stuart Croft, Jolyon Howorth, Terry Terriff, Mark Webber",European Security,11,2,p75 - p100,2002,10.1080/09662830208407532,19-Oct-2007,https://doi.org/10.1080/09662830208407532,406.0,9.0
The role of vacuolar and secreted pathogenesis-related ß (1-3)-glucanases and chitinases in the defence response of plants,"G Bauw, C Castresana, J Vandekerckhove, R de Rycke, M van Montagu, M van den Bulcke",Bulletin de la Société Botanique de France. Actualités Botaniques,137,3-4,p51 - p63,1990,10.1080/01811789.1990.10827029,10-Jul-2014,https://doi.org/10.1080/01811789.1990.10827029,193.0,1.0
Lying in defence of privacy: anthropological and methodological observations,Sjaak van der Geest,International Journal of Social Research Methodology,21,5,p541 - p552,2018,10.1080/13645579.2018.1447866,09-Mar-2018,https://doi.org/10.1080/13645579.2018.1447866,7568.0,6.0
"The business of protection: Bass & Co. and trade mark defence, c. 1870-1914","D M Higgins, S Verma","Accounting, Business & Financial History",19,1,p1 - p19,2009,10.1080/09585200802667097,20-Mar-2009,https://doi.org/10.1080/09585200802667097,285.0,13.0
NATO Ministries of Defense and Transparency of Job Roles of Civilian Personnel: Openness or Secrecy?,Islam Jusufi,Democracy and Security,20,3,p236 - p265,2024,10.1080/17419166.2023.2289091,28-Nov-2023,https://doi.org/10.1080/17419166.2023.2289091,123.0,0.0
Standing for the client: on the interactional becoming of the criminal defence attorney1,Alexander V Kozin,International Journal of the Legal Profession,14,2,p173 - p193,2007,10.1080/09695950701616523,08-Oct-2007,https://doi.org/10.1080/09695950701616523,77.0,2.0
Nordic satellite television as cultural defence in Denmark 1967-1988,Sissel Bjerrum Fossat,Scandinavian Journal of History,48,1,p116 - p135,2023,10.1080/03468755.2021.2011398,13-Dec-2021,https://doi.org/10.1080/03468755.2021.2011398,126.0,0.0
Defense policy in Brazil: bridging the gap between ends and means?,"Marco Cepik, Frederico Licks Bertol",Defence Studies,16,3,p229 - p247,2016,10.1080/14702436.2016.1180959,09-May-2016,https://doi.org/10.1080/14702436.2016.1180959,528.0,12.0
"Norway between NATO, the EU, and the US: A Case Study of Post-Cold War Security and Defence Discourse",Nina Græger,Cambridge Review of International Affairs,18,1,p85 - p103,2005,10.1080/09557570500059605,21-Oct-2010,https://doi.org/10.1080/09557570500059605,1522.0,15.0
Consequences of manipulations in carbon and nitrogen supply for concentration of anti-herbivore defence compounds in Salix polaris,Carsten F Dormann,Écoscience,10,3,p312 - p318,2003,10.1080/11956860.2003.11682779,23-Mar-2016,https://doi.org/10.1080/11956860.2003.11682779,82.0,22.0
Conditional Deterrence and Missile Defense,John Gibilterra,Comparative Strategy,34,1,p64 - p73,2015,10.1080/01495933.2014.962976,25-Feb-2015,https://doi.org/10.1080/01495933.2014.962976,1070.0,2.0
Host defence peptides: antimicrobial and immunomodulatory activity and potential applications for tackling antibiotic-resistant infections,"REW Hancock, A Nijnik",Emerging Health Threats Journal,2,1,,2009,10.3402/ehtj.v2i0.7078,25-Jan-2017,https://doi.org/10.3402/ehtj.v2i0.7078,728.0,50.0
"Britain's global military role, conventional defence and Anglo-American interdependence after Nassau",Michael Middeke,Journal of Strategic Studies,24,1,p143 - p164,2001,10.1080/01402390108437825,24-Jan-2008,https://doi.org/10.1080/01402390108437825,329.0,1.0
"The air defence of Great Britain, 1920-1940: an operational research perspective","R Capey, M Kirby",Journal of the Operational Research Society,48,6,p555 - p568,1997,10.1057/palgrave.jors.2600421,20-Dec-2017,https://doi.org/10.1057/palgrave.jors.2600421,156.0,17.0
Contemporary criminal defence practice: importance of active involvement at the investigative stage and related training requirements,"Vicky Conway, Yvonne Daly, Anna Pivaty, Miet Vanderhallen",International Journal of the Legal Profession,27,1,p25 - p44,2020,10.1080/09695958.2019.1706528,29-Dec-2019,https://doi.org/10.1080/09695958.2019.1706528,6354.0,8.0
Collateral Consequences of Conviction in South Carolina Courts: A Study of South Carolina Defense Lawyers,"Hunter M Boehme, John Burrow, Peter Leasure, Gary Zhang",Justice System Journal,43,1,p68 - p84,2022,10.1080/0098261x.2021.2011495,30-Dec-2021,https://doi.org/10.1080/0098261x.2021.2011495,141.0,1.0
Biblical military ethics and the Israel defence forces: the case of special reconnaissance,"Spyridon N Litsas, Georgios K Papadimitriou",Israel Affairs,27,3,p450 - p474,2021,10.1080/13537121.2021.1915537,16-Apr-2021,https://doi.org/10.1080/13537121.2021.1915537,692.0,0.0
"Introduction: a critical analysis of Australian foreign, defence and strategic policy","Rebecca Strating, Jasmine-Kim Westendorf",Australian Journal of International Affairs,74,3,p208 - p212,2020,10.1080/10357718.2020.1744521,27-Mar-2020,https://doi.org/10.1080/10357718.2020.1744521,2027.0,1.0
Structural design of radar absorber using glass fiber-epoxy composites loaded with BaU hexaferrite for defence applications,"S M Abbas, Ashish Dubey, R Katiyar, Sumit Kumar, Vivek Pratap, A K Soni",Composite Interfaces,30,9,p941 - p958,2023,10.1080/09276440.2023.2179252,21-Feb-2023,https://doi.org/10.1080/09276440.2023.2179252,340.0,4.0
Well-intentioned but missing the point: the Australian Defence Force approach to addressing conflict-based sexual violence,"Tamsin Phillipa Paige, Joanne Stagg",Griffith Law Review,29,3,p468 - p492,2020,10.1080/10383441.2020.1933810,20-Jun-2021,https://doi.org/10.1080/10383441.2020.1933810,358.0,0.0
"On the social constitution of mind: Bruner, Ilyenkov, and the defence of cultural psychology",David Bakhurst,"Mind, Culture, and Activity",2,3,p158 - p171,1995,10.1080/10749039509524697,01-Sep-2009,https://doi.org/10.1080/10749039509524697,131.0,13.0
"Attacks on humans by Australian Magpies (Cracticus tibicen): territoriality, brood-defence or testosterone?","Lee B Astheimer, Darryl N Jones, Rowena M Warne",Emu - Austral Ornithology,110,4,p332 - p338,2010,10.1071/mu10027,22-Dec-2016,https://doi.org/10.1071/mu10027,318.0,6.0
Environmental and socio-economic factors in carbon offsets: an approach to sustainable management and planning in climate change strategy,Ryunosuke Kikuchi,Journal of Environmental Planning and Management,54,3,p355 - p367,2011,10.1080/09640568.2010.506084,04-Feb-2011,https://doi.org/10.1080/09640568.2010.506084,855.0,7.0
Forecasting Costs of U.S. Ballistic Missile Defense Against a Major Nuclear Strike,"Timur Kadyshev, Igor Moric",Defence and Peace Economics,36,2,p141 - p166,2025,10.1080/10242694.2024.2396415,03-Sep-2024,https://doi.org/10.1080/10242694.2024.2396415,9933.0,4.0
The defence of Venetian dominion over the Adriatic Sea: Situating Paolo Sarpi c 1600-1625,Stefano Cattelan,Comparative Legal History,9,2,p177 - p207,2021,10.1080/2049677x.2021.2001968,17-Nov-2021,https://doi.org/10.1080/2049677x.2021.2001968,239.0,3.0
The English common law criminal defence and excuse of necessity: a critical comparison of the customary law and commonplace,Gary I Lilienthal,Commonwealth Law Bulletin,44,3,p345 - p362,2018,10.1080/03050718.2019.1635896,03-Jul-2019,https://doi.org/10.1080/03050718.2019.1635896,391.0,2.0
A Case Study on the Development of the Home Defence Training Game HOT SEAT,"Brian Chippendale, John K S Clayton, Anne Fitzsimons, David A Hartley, Philip V Johnson, Jenny Lovell",Journal of the Operational Research Society,30,10,p861 - p871,1979,10.1057/jors.1979.207,20-Dec-2017,https://doi.org/10.1057/jors.1979.207,3.0,2.0
Defence Decision-making in Britain and the Determinants of Defence Policy,John Baylis,The RUSI Journal,120,1,p42 - p48,1975,10.1080/03071847509420824,11-Sep-2009,https://doi.org/10.1080/03071847509420824,52.0,0.0
Blackshirts for the twenty-first century? Fascism and the English Defence League,"Dominic Alessio, Kristen Meredith",Social Identities,20,1,p104 - p118,2014,10.1080/13504630.2013.843058,18-Oct-2013,https://doi.org/10.1080/13504630.2013.843058,1550.0,9.0
Lasers in Defence: An Overview of Contemporary Status and Emerging Trends,"K S Jindal, A K Maini",IETE Technical Review,20,2,p175 - p186,2003,10.1080/02564602.2003.11417082,26-Mar-2015,https://doi.org/10.1080/02564602.2003.11417082,71.0,3.0
Might anabolic steroid abuse provide a defence in cases of violent crime?,"Martin Humphreys, Douglas Williamson",The Journal of Forensic Psychiatry,4,3,p481 - p488,1993,10.1080/09585189308408215,04-Jan-2008,https://doi.org/10.1080/09585189308408215,65.0,1.0
Regional Order by Other Means? Examining the Rise of Defense Diplomacy in Southeast Asia,Evan A Laksmana,Asian Security,8,3,p251 - p270,2012,10.1080/14799855.2012.723920,25-Oct-2012,https://doi.org/10.1080/14799855.2012.723920,1867.0,15.0
The European Union's nascent role in the field of collective defense: between deliberate and emergent strategy,Elie Perot,Journal of European Integration,46,1,p1 - p23,2024,10.1080/07036337.2023.2237653,24-Jul-2023,https://doi.org/10.1080/07036337.2023.2237653,1890.0,5.0
Defense mechanisms development in typical children,"Corrado Caudek, Maria Anna Tallandini",Psychotherapy Research,20,5,p535 - p545,2010,10.1080/10503307.2010.493536,27-Jul-2010,https://doi.org/10.1080/10503307.2010.493536,1635.0,5.0
Learning the lessons of COVID-19: homeland resilience in the United Kingdom - is it now time for both a dedicated civil defense organization and a paramilitary force?,"Marina Miron, Thornton Rod",Defence Studies,23,1,p105 - p125,2023,10.1080/14702436.2022.2110481,18-Aug-2022,https://doi.org/10.1080/14702436.2022.2110481,2426.0,2.0
Between rhetoric and practice: technological efficiency and defence cooperation in the European drone sector,Raluca Csernatoni,Critical Military Studies,7,2,p212 - p236,2021,10.1080/23337486.2019.1585652,12-Mar-2019,https://doi.org/10.1080/23337486.2019.1585652,509.0,8.0
A logical flaw in an index to suppress response-bias in perceptual defence measures and the application of a proposed improvement,"Ki-Taek Chun, Theodore R Sarbin",Australian Journal of Psychology,19,2,p151 - p158,1967,10.1080/00049536708255574,27-Sep-2007,https://doi.org/10.1080/00049536708255574,2.0,1.0
"Balancing Threat, not Capabilities: European Defence Cooperation as Reformed Bandwagoning",Tom Dyson,Contemporary Security Policy,34,2,p387 - p391,2013,10.1080/13523260.2013.808073,29-Jul-2013,https://doi.org/10.1080/13523260.2013.808073,1923.0,13.0
Managing risks in public procurement of defense innovation: lessons from the development of an anti-armor mine in Estonia,"Tarmo Kalvet, Raul Kütt, Illimar Ploom, Marek Tiits, Markus Veinla",Journal of Baltic Studies,56,3,p485 - p509,2025,10.1080/01629778.2024.2375594,17-Jul-2024,https://doi.org/10.1080/01629778.2024.2375594,1598.0,0.0
"Privatizing Due Process: Issues in the Comparison of Assigned Counsel, Public Defender, and Contracted Indigent Defense Systems",Alissa Pollitz Worden,Justice System Journal,15,1,p390 - p418,1991,10.1080/23277556.1991.10871136,11-Sep-2014,https://doi.org/10.1080/23277556.1991.10871136,16.0,10.0
"In defence of fear: COVID-19, crises and democracy","Dan Degerman, Matthew Flinders, Matthew Thomas Johnson",Critical Review of International Social and Political Philosophy,26,6,p788 - p809,2023,10.1080/13698230.2020.1834744,22-Oct-2020,https://doi.org/10.1080/13698230.2020.1834744,10499.0,28.0
A PANEL DATA ANALYSIS OF THE NEXUS BETWEEN DEFENCE SPENDING AND GROWTH IN THE EUROPEAN UNION,"Christos Kollias, Nikolaos Mylonidis, Suzanna-Maria Paleologou",Defence and Peace Economics,18,1,p75 - p85,2007,10.1080/10242690600722636,29-Jan-2007,https://doi.org/10.1080/10242690600722636,1045.0,74.0
Legislating Security: Drilling Down the Concepts of 'National Defence' and 'National Security' in Brazil (1900-1945),Laura Lima,Defence Studies,14,3,p266 - p283,2014,10.1080/14702436.2014.889470,16-Apr-2014,https://doi.org/10.1080/14702436.2014.889470,237.0,4.0
"In support of anticipatory self-defence Israel, Osiraq and international law","Louis René Beres, Yoash Tsiddon-Chatto",Contemporary Security Policy,19,2,p111 - p114,1998,10.1080/13523269808404193,28-Sep-2007,https://doi.org/10.1080/13523269808404193,207.0,2.0
Bauhaus on trial: Aluminum city terrace and federal defence housing policy during World War II,Kristin M Szylvian,Planning Perspectives,9,3,p229 - p254,1994,10.1080/02665439408725798,08-May-2007,https://doi.org/10.1080/02665439408725798,130.0,1.0
"Conflict Scenarios, Defence Policy and Participation in Peace Operations: The Chilean Viewpoint",Omar Gutiérrez,International Peacekeeping,17,5,p694 - p710,2010,10.1080/13533312.2010.516969,08-Dec-2010,https://doi.org/10.1080/13533312.2010.516969,224.0,2.0
"The construction of NATO's medium term defence plan and the diplomacy of conventional strategy, 1949-50",Andrew M Johnston,Diplomacy & Statecraft,12,2,p79 - p124,2001,10.1080/09592290108406204,19-Oct-2007,https://doi.org/10.1080/09592290108406204,156.0,3.0
"Legal and clinical enactment of the doli incapax defence in the supreme court of Victoria, Australia",Terry Bartholomew,"Psychiatry, Psychology and Law",5,1,p95 - p105,1998,10.1080/13218719809524923,01-Sep-2009,https://doi.org/10.1080/13218719809524923,833.0,7.0
Defense mechanisms: A guide to brain functioning?,Sandy Henderson,Neuropsychoanalysis,25,2,p191 - p202,2023,10.1080/15294145.2023.2261458,13-Nov-2023,https://doi.org/10.1080/15294145.2023.2261458,1322.0,2.0
The use of the general health questionnaire in the Australian defence force: A flawed but irreplaceable measure?,Sarah Chapman,Australian Psychologist,36,3,p244 - p249,2001,10.1080/00050060108259662,28-Sep-2007,https://doi.org/10.1080/00050060108259662,26.0,1.0
Small wars and the construction of the Venetian defence system from the sixteenth to eighteenth centuries,Tea Perinčić,Small Wars & Insurgencies,32,7,p1163 - p1187,2021,10.1080/09592318.2021.1923343,10-May-2021,https://doi.org/10.1080/09592318.2021.1923343,250.0,1.0
Defence spending and growth in Greece: a comment and further empirical evidence,Nicholas Antonakis,Applied Economics Letters,4,10,p651 - p655,1997,10.1080/758533294,02-Nov-2006,https://doi.org/10.1080/758533294,101.0,10.0
A (limited) defence of Priorianism,Daniel Deasy,Inquiry,66,10,p2037 - p2062,2023,10.1080/0020174x.2020.1850346,17-Dec-2020,https://doi.org/10.1080/0020174x.2020.1850346,182.0,2.0
"Agonizing Reappraisals: Anthony Eden, John Foster Dulles and the Crisis of European Defence, 1953-54",Kevin Ruane,Diplomacy & Statecraft,13,4,p151 - p185,2002,10.1080/714000354,06-Sep-2010,https://doi.org/10.1080/714000354,453.0,3.0
"Chemical defense of embryos and larvae of a West Indian gorgonian coral, Briareum asbestinum","C GRIGGS, C D HARVELL, J M WEST",Invertebrate Reproduction & Development,30,1-3,p239 - p247,1996,10.1080/07924259.1996.9672550,25-Feb-2011,https://doi.org/10.1080/07924259.1996.9672550,24.0,20.0
Someone has to do it: towards a practical defence of politicians,Jack Corbett,Contemporary Politics,21,4,p468 - p484,2015,10.1080/13569775.2015.1013290,25-Feb-2015,https://doi.org/10.1080/13569775.2015.1013290,498.0,8.0
Market Size and the Political Economy of European Defense,"Antonio Calcara, Luis Simón",Security Studies,30,5,p860 - p892,2021,10.1080/09636412.2021.2023625,24-Jan-2022,https://doi.org/10.1080/09636412.2021.2023625,1709.0,10.0
The control of prolactin secretion and nest defence in the ring dove (Streptopelia risoria),"Robert W Lea, David M Vowles",Bollettino di zoologia,52,3-4,p323 - p329,1985,10.1080/11250008509440534,14-Sep-2009,https://doi.org/10.1080/11250008509440534,296.0,5.0
Deepening of Japan-Europe Security and Defense Cooperation through Defense Technology Partnerships,Nanae Baldauff,Asia-Pacific Review,31,3,p18 - p25,2024,10.1080/13439006.2024.2450161,11-Mar-2025,https://doi.org/10.1080/13439006.2024.2450161,172.0,0.0
The Netherlands and Islam: In Defence of Liberalism and Progress?,Saskia van Genugten,The International Spectator,48,1,p72 - p85,2013,10.1080/03932729.2013.758906,10-Apr-2013,https://doi.org/10.1080/03932729.2013.758906,657.0,2.0
Limitations on ballistic missile defense-Past and possibly future,"George Lewis, Frank von Hippel",Bulletin of the Atomic Scientists,74,4,p199 - p209,2018,10.1080/00963402.2018.1486575,28-Jun-2018,https://doi.org/10.1080/00963402.2018.1486575,2747.0,5.0
"Global justice, foreign policy, and the law of peoples: a Rawlsian defence of the Commonwealth",Kiraan Chetty,The Round Table,110,2,p264 - p269,2021,10.1080/00358533.2021.1904589,30-Apr-2021,https://doi.org/10.1080/00358533.2021.1904589,153.0,1.0
Defence spending and economic performance in the United States: Some structural var evidence,Ehung Gi Baek,Defence Economics,2,3,p251 - p264,1991,10.1080/10430719108404696,19-Oct-2007,https://doi.org/10.1080/10430719108404696,28.0,7.0
The Argument from Underconsideration as Grounds for Anti-realism: A Defence,K Brad Wray,International Studies in the Philosophy of Science,22,3,p317 - p326,2008,10.1080/02698590802567399,05-Dec-2008,https://doi.org/10.1080/02698590802567399,322.0,35.0
A Defence of Lucretian Presentism,"David Ingram, Jonathan Tallant",Australasian Journal of Philosophy,98,4,p675 - p690,2020,10.1080/00048402.2019.1697709,22-Jan-2020,https://doi.org/10.1080/00048402.2019.1697709,516.0,5.0
The populist challenge to European defense,"Marina Henke, Richard Maher",Journal of European Public Policy,28,3,p389 - p406,2021,10.1080/13501763.2021.1881587,17-Feb-2021,https://doi.org/10.1080/13501763.2021.1881587,3280.0,28.0
Representation and Sensation-A Defence of Deleuze's Philosophy of Painting,Henry Somers-Hall,Journal of Aesthetics and Phenomenology,3,1,p55 - p65,2016,10.1080/20539320.2016.1187854,18-Jul-2016,https://doi.org/10.1080/20539320.2016.1187854,597.0,1.0
"In defence of business history: A reply to Taylor, Bell and Cooke","Steve Toms, John Wilson",Management & Organizational History,5,1,p109 - p120,2010,10.1177/1744935909353919,02-Jan-2013,https://doi.org/10.1177/1744935909353919,209.0,24.0
"Western trade unions confronting multinational corporations (MNCs), international regulations and the defence of special interests (1970-95)",Sandrine Kott,European Review of History: Revue européenne d'histoire,32,4-5,p486 - p505,2025,10.1080/13507486.2025.2501722,04-Jun-2025,https://doi.org/10.1080/13507486.2025.2501722,1636.0,1.0
In Defence of No Best World,Daniel Rubio,Australasian Journal of Philosophy,98,4,p811 - p825,2020,10.1080/00048402.2019.1699588,22-Jan-2020,https://doi.org/10.1080/00048402.2019.1699588,441.0,16.0
Understanding defences and defensiveness in social work,Pamela Trevithick,Journal of Social Work Practice,25,4,p389 - p412,2011,10.1080/02650533.2011.626642,24-Nov-2011,https://doi.org/10.1080/02650533.2011.626642,10466.0,56.0
Postcolonial imaginaries in the West: secular state-building and cultural defence in Québec since the Quiet Revolution,Efe Peker,"Politics, Religion & Ideology",25,2,p218 - p242,2024,10.1080/21567689.2024.2349232,30-Apr-2024,https://doi.org/10.1080/21567689.2024.2349232,565.0,2.0
Deterrence under nuclear asymmetry: THAAD and the prospects for missile defense on the Korean peninsula,"Inwook Kim, Soul Park",Contemporary Security Policy,40,2,p165 - p192,2019,10.1080/13523260.2018.1558750,28-Dec-2018,https://doi.org/10.1080/13523260.2018.1558750,1801.0,6.0
The national defense function and federalism: the importance of the 2008 National Defense Authorization Act,Louise Stanton,Defense & Security Analysis,28,4,p288 - p302,2012,10.1080/14751798.2012.730724,22-Nov-2012,https://doi.org/10.1080/14751798.2012.730724,820.0,1.0
"Crime, psychiatry and the insanity defence: a report on some recent reforms in the United States","Samuel Jan Brakel, James L Cavanaugh",Australian and New Zealand Journal of Psychiatry,30,1,p134 - p141,1996,10.3109/00048679609076083,06-Jul-2009,https://doi.org/10.3109/00048679609076083,21.0,2.0
The Use of Defence Mechanisms as Precursors to Coming Out in Post-Apartheid South Africa: A Gay and Lesbian Youth Perspective,"Gaynor Astbury, Allister H Butler",Journal of Homosexuality,55,2,p223 - p244,2008,10.1080/00918360802129485,11-Oct-2008,https://doi.org/10.1080/00918360802129485,1055.0,33.0
"Application of the dynamic bounds method in the safety assessment of flood defences, a case study: 17th Street flood wall, New Orleans","Zeki Demirbilek, Tew-Fik Mahdi, M Rajabalinejad, J K Vrijling, P H A J M van Gelder",Georisk: Assessment and Management of Risk for Engineered Systems and Geohazards,4,4,p157 - p173,2010,10.1080/17499510903416170,01-Jun-2010,https://doi.org/10.1080/17499510903416170,514.0,5.0
Weaponising Europe? Rule-makers and rule-takers in the EU regulatory security state,Kaija Schilde,Journal of European Public Policy,30,7,p1255 - p1280,2023,10.1080/13501763.2023.2174582,13-Feb-2023,https://doi.org/10.1080/13501763.2023.2174582,1370.0,17.0
China's defence semiconductor industrial base in an age of globalisation: Cross-strait dynamics and regional security implications,Ming-Chin Monique Chu,Journal of Strategic Studies,47,5,p643 - p668,2024,10.1080/01402390.2023.2164852,06-Feb-2023,https://doi.org/10.1080/01402390.2023.2164852,10600.0,7.0
Reforming China's defense industry,Richard A Bitzinger,Journal of Strategic Studies,39,5-6,p762 - p789,2016,10.1080/01402390.2016.1221819,02-Sep-2016,https://doi.org/10.1080/01402390.2016.1221819,1734.0,14.0
In defence of blows: heroism and violence in the discourse of Catholic women activists in Spain (1900-1936),Alejandro Camino,Journal of Iberian and Latin American Studies,31,1,p49 - p65,2025,10.1080/14701847.2025.2472568,14-Mar-2025,https://doi.org/10.1080/14701847.2025.2472568,89.0,0.0
The Sovereignty of the Scholar-Sultan: An ʾAyyūbid Prince's Defence of Abū Ḥanīfa,Matthew L Keegan,Al-Masāq,,,p1 - p25,5187,10.1080/09503110.2025.2593211,18-Dec-2025,https://doi.org/10.1080/09503110.2025.2593211,20.0,0.0
"In search of a post-hegemonic order: Germany, NATO and the European security and defence policy",Marco Overhaus,German Politics,13,4,p551 - p568,2004,10.1080/0964400042000343137,05-Aug-2006,https://doi.org/10.1080/0964400042000343137,844.0,4.0
'Pooling and Sharing' and 'Permanent Structured Cooperation' as the Current EU's Defense and Security Integration Modes,Michal Piechowicz,Democracy and Security,21,2,p141 - p162,2025,10.1080/17419166.2024.2411968,04-Oct-2024,https://doi.org/10.1080/17419166.2024.2411968,291.0,0.0
The clandestine defence of empire: British special operations in Yemen 1951-64,Spencer Mawby,Intelligence and National Security,17,3,p105 - p130,2002,10.1080/02684520412331306570,04-Jun-2010,https://doi.org/10.1080/02684520412331306570,787.0,10.0
Dreams and dreaming: Stone Age defence mechanisms or by-products of sleep?,Karori Mbugua,South African Journal of Philosophy,44,1,p99 - p107,2025,10.1080/02580136.2025.2465135,01-Apr-2025,https://doi.org/10.1080/02580136.2025.2465135,63.0,0.0
The geography of avoided deforestation and sustainable forest management offsets: the enduring question of additionality,"Areeb Atheeque, Andrew Bowsher, Jessica Furtado, Caleb Gallemore, Elias Groff",Climate Policy,25,3,p335 - p351,2025,10.1080/14693062.2024.2383418,24-Jul-2024,https://doi.org/10.1080/14693062.2024.2383418,330.0,0.0
Bridging which gaps? The European Union's use of private military and security companies in common security and defence policy missions,"Oldrich Bures, Eugenio Cusumano",Defense & Security Analysis,41,3,p464 - p489,2025,10.1080/14751798.2025.2468530,26-Feb-2025,https://doi.org/10.1080/14751798.2025.2468530,2382.0,0.0
China's Anxiety About US Missile Defence: A Solution,Wu Riqiang,Survival,55,5,p29 - p52,2013,10.1080/00396338.2013.841803,08-Oct-2013,https://doi.org/10.1080/00396338.2013.841803,2160.0,10.0
